apc 00;apc 10;apc 11;kras 00;kras 10;kras 11;p53 00;p53 10;p53 11
0.4568;0.5432;0;0.0628;0.9372;0;0.5336;0.4664;0
0.4596;0.5404;0;0.064;0.936;0;0.5376;0.4624;0
0.4568;0.5432;0;0.066;0.934;0;0.542;0.458;0
0.4576;0.5424;0;0.0648;0.9352;0;0.5416;0.4584;0
0.4544;0.5456;0;0.0636;0.9364;0;0.5468;0.4532;0
0.454;0.546;0;0.0624;0.9376;0;0.5496;0.4504;0
0.4576;0.5424;0;0.0628;0.9372;0;0.5464;0.4536;0
0.464;0.536;0;0.0608;0.9392;0;0.5456;0.4544;0
0.4684;0.5316;0;0.0608;0.9392;0;0.5496;0.4504;0
0.462;0.538;0;0.0588;0.9412;0;0.5424;0.4576;0
0.4592;0.5408;0;0.0604;0.9396;0;0.5424;0.4576;0
0.4644;0.5356;0;0.0596;0.9404;0;0.5392;0.4608;0
0.47;0.53;0;0.0604;0.9396;0;0.546;0.454;0
0.466;0.534;0;0.0608;0.9392;0;0.5428;0.4572;0
0.466;0.534;0;0.0624;0.9376;0;0.5396;0.4604;0
0.4696;0.5304;0;0.062;0.938;0;0.544;0.456;0
0.4724;0.5276;0;0.0632;0.9368;0;0.542;0.458;0
0.4612;0.5388;0;0.062;0.938;0;0.544;0.456;0
0.4648;0.5352;0;0.0608;0.9392;0;0.5524;0.4476;0
0.4632;0.5368;0;0.0596;0.9404;0;0.5496;0.4504;0
0.4572;0.5428;0;0.0612;0.9388;0;0.5428;0.4572;0
0.4588;0.5412;0;0.0616;0.9384;0;0.538;0.462;0
0.4624;0.5376;0;0.0616;0.9384;0;0.5404;0.4596;0
0.4644;0.5356;0;0.062;0.938;0;0.5436;0.4564;0
0.4628;0.5372;0;0.0628;0.9372;0;0.5328;0.4672;0
0.4672;0.5328;0;0.0616;0.9384;0;0.5256;0.4744;0
0.466;0.534;0;0.0624;0.9376;0;0.528;0.472;0
0.4624;0.5376;0;0.0588;0.9412;0;0.5204;0.4796;0
0.4696;0.5304;0;0.0568;0.9432;0;0.5212;0.4788;0
0.4704;0.5296;0;0.056;0.944;0;0.5164;0.4836;0
0.4728;0.5272;0;0.0584;0.9416;0;0.5128;0.4872;0
0.4684;0.5316;0;0.0588;0.9412;0;0.5056;0.4944;0
0.4736;0.5264;0;0.0624;0.9376;0;0.5;0.5;0
0.4644;0.5356;0;0.0644;0.9356;0;0.508;0.492;0
0.466;0.534;0;0.0648;0.9352;0;0.514;0.486;0
0.47;0.53;0;0.0656;0.9344;0;0.518;0.482;0
0.4744;0.5256;0;0.0672;0.9328;0;0.5156;0.4844;0
0.4748;0.5252;0;0.0684;0.9316;0;0.5184;0.4816;0
0.4816;0.5184;0;0.0688;0.9312;0;0.5156;0.4844;0
0.4872;0.5128;0;0.0704;0.9296;0;0.5204;0.4796;0
0.4936;0.5064;0;0.0712;0.9288;0;0.5168;0.4832;0
0.4932;0.5068;0;0.0716;0.9284;0;0.5132;0.4868;0
0.4928;0.5072;0;0.072;0.928;0;0.5096;0.4904;0
0.498;0.502;0;0.0744;0.9256;0;0.5084;0.4916;0
0.5044;0.4956;0;0.0764;0.9236;0;0.512;0.488;0
0.5104;0.4896;0;0.0792;0.9208;0;0.5144;0.4856;0
0.5096;0.4904;0;0.0812;0.9188;0;0.5072;0.4928;0
0.5056;0.4944;0;0.0812;0.9188;0;0.5096;0.4904;0
0.51;0.49;0;0.0804;0.9196;0;0.512;0.488;0
0.516;0.484;0;0.08;0.92;0;0.508;0.492;0
0.5208;0.4792;0;0.0796;0.9204;0;0.5;0.5;0
0.5276;0.4724;0;0.0796;0.9204;0;0.4952;0.5048;0
0.5304;0.4696;0;0.0812;0.9188;0;0.4896;0.5104;0
0.5268;0.4732;0;0.0788;0.9212;0;0.4916;0.5084;0
0.5248;0.4752;0;0.0768;0.9232;0;0.49;0.51;0
0.5252;0.4748;0;0.0764;0.9236;0;0.4944;0.5056;0
0.5236;0.4764;0;0.076;0.924;0;0.4888;0.5112;0
0.5256;0.4744;0;0.0772;0.9228;0;0.4872;0.5128;0
0.5248;0.4752;0;0.0748;0.9252;0;0.4936;0.5064;0
0.5288;0.4712;0;0.074;0.926;0;0.4904;0.5096;0
0.5312;0.4688;0;0.0712;0.9288;0;0.494;0.506;0
0.5372;0.4628;0;0.0704;0.9296;0;0.4928;0.5072;0
0.5356;0.4644;0;0.0704;0.9296;0;0.49;0.51;0
0.5356;0.4644;0;0.0692;0.9308;0;0.494;0.506;0
0.5388;0.4612;0;0.0684;0.9316;0;0.4936;0.5064;0
0.5476;0.4524;0;0.0696;0.9304;0;0.4908;0.5092;0
0.5448;0.4552;0;0.0708;0.9292;0;0.486;0.514;0
0.5476;0.4524;0;0.0656;0.9344;0;0.4864;0.5136;0
0.5464;0.4536;0;0.0656;0.9344;0;0.4944;0.5056;0
0.5496;0.4504;0;0.0672;0.9328;0;0.5004;0.4996;0
0.5472;0.4528;0;0.0696;0.9304;0;0.5072;0.4928;0
0.5412;0.4588;0;0.0712;0.9288;0;0.5108;0.4892;0
0.5364;0.4636;0;0.0692;0.9308;0;0.5116;0.4884;0
