time;normal;hipox;imm;tum
579;169;2;16;0
580;169;2;16;0
581;169;2;16;0
582;169;2;16;0
583;169;2;16;0
584;169;2;16;0
585;169;2;15;0
586;169;2;15;0
587;169;2;15;0
588;169;2;15;0
589;169;2;15;0
590;169;2;15;0
591;169;2;15;0
592;169;2;15;0
593;169;2;15;0
594;169;2;15;0
595;169;2;15;0
596;169;2;15;0
597;169;2;15;0
598;169;2;15;0
599;169;2;15;0
600;169;2;15;0
601;169;2;15;0
602;169;2;15;0
603;169;2;15;0
604;169;2;15;0
605;169;2;15;0
606;169;2;15;0
607;169;2;15;0
608;169;2;15;0
609;169;2;15;0
610;169;2;15;0
611;169;2;15;0
612;169;2;15;0
613;169;2;15;0
614;169;2;15;0
615;169;2;15;0
616;169;2;15;0
617;169;2;15;0
618;169;2;15;0
619;169;2;15;0
620;169;2;15;0
621;169;2;15;0
622;169;2;15;0
623;169;2;15;0
624;169;2;15;0
625;169;2;14;0
626;169;2;14;0
627;169;2;14;0
628;169;2;14;0
629;169;2;14;0
630;169;2;14;0
631;169;2;14;0
632;169;2;14;0
633;169;2;14;0
634;169;2;14;0
635;169;2;14;0
636;169;2;14;0
637;169;2;14;0
638;169;2;14;0
639;169;2;14;0
640;169;2;14;0
641;169;2;14;0
642;169;2;14;0
643;169;2;14;0
644;169;2;14;0
645;169;2;14;0
646;169;2;14;0
647;169;2;14;0
648;170;2;14;0
649;170;2;14;0
650;170;2;14;0
651;170;2;14;0
652;170;2;14;0
653;170;2;14;0
654;170;2;14;0
655;170;2;14;0
656;170;2;14;0
657;170;2;14;0
658;170;2;14;0
659;170;2;14;0
660;170;2;14;0
661;170;2;14;0
662;170;2;14;0
663;170;2;14;0
664;170;2;14;0
665;170;2;14;0
666;170;2;14;0
667;170;2;14;0
668;170;2;14;0
669;170;2;14;0
670;170;2;14;0
671;170;2;13;0
672;170;2;13;0
673;170;2;13;0
674;170;2;13;0
675;170;2;13;0
676;170;2;13;0
677;170;2;13;0
678;170;2;13;0
679;170;2;13;0
680;170;2;13;0
681;170;2;13;0
682;170;2;13;0
