apc.00;apc.10;apc.11;kras.00;kras.10;kras.11;p53.00;p53.10;p53.11
0.7168;0.2832;0;0.5256;0.4744;0;0.7184;0.2808;0.0008
0.7096;0.2904;0;0.5152;0.4848;0;0.7092;0.29;0.0008
0.7044;0.2956;0;0.5068;0.4932;0;0.7024;0.2968;0.0008
0.6964;0.3036;0;0.4984;0.5016;0;0.6928;0.3064;0.0008
0.6916;0.3084;0;0.4876;0.5124;0;0.688;0.3112;0.0008
0.6844;0.3156;0;0.4776;0.5224;0;0.6812;0.318;0.0008
0.6764;0.3236;0;0.4648;0.5352;0;0.6768;0.3224;0.0008
0.668;0.3312;0.0008;0.4564;0.5436;0;0.6696;0.3296;0.0008
0.663069544;0.336131095;0;0.447641886;0.552358114;0;0.663868905;0.335331735;0
0.658673062;0.340527578;0;0.439248601;0.560751399;0;0.658273381;0.340927258;0
0.653477218;0.345723421;0;0.429256595;0.570743405;0;0.647881695;0.351318945;0
0.646424291;0.352776668;0;0.417499001;0.582500999;0;0.643228126;0.355972833;0
0.640031962;0.359168997;0;0.406312425;0.593687575;0;0.640431482;0.358769477;0
0.635129741;0.363672655;0.001197605;0.39760479;0.60239521;0;0.635528942;0.363672655;0
0.630486832;0.367517957;0.001995211;0.386671987;0.613328013;0;0.632482043;0.366719872;0
0.627740136;0.369868473;0.002391391;0.378238342;0.621761658;0;0.623754484;0.375448386;0
0.622957354;0.374651255;0.002391391;0.367477083;0.632522917;0;0.614587485;0.384615385;0
0.615506958;0.379324056;0.005168986;0.357852883;0.642147117;0;0.606361829;0.392842942;0
0.605795951;0.388249305;0.005954744;0.349344978;0.650655022;0;0.600635173;0.398570861;0
0.597222222;0.397222222;0.005555556;0.340873016;0.659126984;0;0.595238095;0.403174603;0.001587302
0.591035303;0.403014677;0.00595002;0.331614439;0.668385561;0;0.593415311;0.404601349;0.00198334
0.586042823;0.407613006;0.006344171;0.319587629;0.680412371;0;0.589214909;0.408406027;0.002379064
0.575613618;0.417656374;0.006730008;0.307996833;0.692003167;0;0.58432304;0.41290578;0.00277118
0.566969577;0.425128408;0.007902015;0.297905966;0.702094034;0;0.5788226;0.418411695;0.002765705
0.560600079;0.431504145;0.007895776;0.287801026;0.712198974;0;0.57323332;0.424003158;0.002763522
0.551398188;0.438755416;0.009846396;0.27609295;0.72390705;0;0.565183143;0.432059866;0.002756991
0.542958023;0.443311102;0.013730875;0.262063554;0.737936446;0;0.553550412;0.443703413;0.002746175
0.537377691;0.44853229;0.01409002;0.252446184;0.747553816;0;0.542465753;0.454794521;0.002739726
0.532838155;0.45308835;0.014073495;0.241594996;0.757232213;0.001172791;0.534401876;0.46207975;0.003518374
0.526601942;0.453592233;0.019805825;0.228737864;0.76815534;0.003106796;0.526213592;0.469126214;0.004660194
0.521486643;0.457220286;0.02129307;0.220673635;0.774680604;0.004645761;0.51838947;0.475416183;0.006194348
0.514296754;0.464064915;0.021638331;0.213292117;0.780911901;0.005795981;0.51236476;0.480293663;0.007341577
0.510196229;0.465563678;0.024240092;0.20315506;0.7899192;0.006925741;0.507118122;0.484417083;0.008464794
0.504407819;0.469528555;0.026063626;0.194710617;0.797623611;0.007665772;0.502491376;0.488309697;0.009198927
0.497512438;0.475698431;0.026789131;0.184845006;0.806352851;0.008802143;0.49789514;0.49177191;0.010332951
0.486897076;0.481200152;0.031902773;0.175085454;0.815039878;0.009874668;0.487656665;0.500949487;0.011393847
0.481481481;0.482993197;0.035525321;0.162887377;0.826152683;0.01095994;0.477702192;0.509826153;0.012471655
0.476871004;0.484392629;0.038736367;0.154193306;0.833772095;0.012034599;0.470101542;0.516359534;0.013538924
0.477589454;0.486629002;0.035781544;0.142749529;0.843691149;0.013559322;0.469679849;0.515254237;0.015065913
0.475527108;0.490210843;0.034262048;0.13064759;0.854668675;0.014683735;0.463855422;0.519954819;0.016189759
0.469548872;0.496240602;0.034210526;0.119172932;0.865037594;0.015789474;0.462406015;0.520300752;0.017293233
0.466142911;0.497568275;0.036288814;0.111111111;0.872427984;0.016460905;0.457164235;0.524878414;0.017957351
0.466367713;0.5;0.033632287;0.102017937;0.880792227;0.017189836;0.454783259;0.526532138;0.018684604
0.459590317;0.505772812;0.034636872;0.091992551;0.890130354;0.017877095;0.44990689;0.530726257;0.019366853
0.451553254;0.510724852;0.037721893;0.081730769;0.899038462;0.019230769;0.446745562;0.532544379;0.020710059
0.449367089;0.520104244;0.030528667;0.074460164;0.90469099;0.020848846;0.442293373;0.535368578;0.022338049
0.446148093;0.529169783;0.024682124;0.068436799;0.909498878;0.022064323;0.434554974;0.541884817;0.023560209
0.447555058;0.528928705;0.023516237;0.066815976;0.909667786;0.023516237;0.437849944;0.537140724;0.025009332
0.447045708;0.526941657;0.026012635;0.066518023;0.908955779;0.024526198;0.434411;0.539576366;0.026012635
0.440029707;0.533605644;0.026364649;0.066097289;0.908280728;0.025621983;0.43557371;0.536576309;0.027849981
0.434102755;0.543931497;0.021965748;0.067386448;0.906552494;0.026061057;0.434102755;0.537230082;0.028667163
0.439269747;0.540611028;0.020119225;0.068554396;0.904247392;0.027198212;0.429955291;0.54023845;0.029806259
0.431438127;0.54960981;0.018952062;0.069862505;0.901523597;0.028613898;0.424005946;0.544407284;0.031586771
0.43074638;0.5499443;0.01930932;0.071667286;0.899740067;0.028592648;0.425919049;0.542146305;0.031934645
0.432532348;0.546395564;0.021072089;0.070979667;0.900554529;0.028465804;0.423659889;0.544177449;0.032162662
0.431047198;0.546091445;0.022861357;0.073377581;0.898230088;0.02839233;0.42219764;0.545353982;0.032448378
0.432541133;0.539670932;0.027787934;0.073126143;0.898720293;0.028153565;0.414259598;0.553199269;0.032541133
