apc.00;apc.10;apc.01;apc.11;kras.00;kras.10;kras.01;kras.11;p53.00;p53.10;p53.01;p53.11
0.749907919;0.089502762;0.12412523;0.036464088;0.53038674;0.261510129;0.175322284;0.032780847;0.728913444;0.109023941;0.110497238;0.051565378
0.758172363;0.088038633;0.127414562;0.026374443;0.526374443;0.262258544;0.181649331;0.029717682;0.729197623;0.112927192;0.114784547;0.043090639
0.757473842;0.091180867;0.133781764;0.017563528;0.520926756;0.263826607;0.190956652;0.024289985;0.728325859;0.11696562;0.118460389;0.036248132
0.75928009;0.089988751;0.138357705;0.012373453;0.514060742;0.266216723;0.197975253;0.021747282;0.725534308;0.119235096;0.122234721;0.032995876
0.710945802;0.089620971;0.134608572;0.064824655;0.476797733;0.280198371;0.191640099;0.051363797;0.678002125;0.119022317;0.11937655;0.083599008
0.712040014;0.091461236;0.140050018;0.056448732;0.471954269;0.279742765;0.201143265;0.0471597;0.678456592;0.121114684;0.123972847;0.076455877
0.710498029;0.09279828;0.146900752;0.049802938;0.462916517;0.284127553;0.208885704;0.044070226;0.677176639;0.125761376;0.125044787;0.072017198
0.705840201;0.096022931;0.151916876;0.046219993;0.45360086;0.289501971;0.212826944;0.044070226;0.673235399;0.126477965;0.13006091;0.070225726
0.701535166;0.098536237;0.153159586;0.046769011;0.445912174;0.292038558;0.21813638;0.043912888;0.6651196;0.129953588;0.133880757;0.071046055
0.692745377;0.099573257;0.156827881;0.050853485;0.436699858;0.295163585;0.222972973;0.045163585;0.654694168;0.134068279;0.139046942;0.072190612
0.688818565;0.099507736;0.155766526;0.055907173;0.42440225;0.299578059;0.225738397;0.050281294;0.646624473;0.137130802;0.138537271;0.077707454
0.619410086;0.090390105;0.14240406;0.14779575;0.376466857;0.37044085;0.210275928;0.042816365;0.580082461;0.121471614;0.129717729;0.168728195
0.566910688;0.087262079;0.134992679;0.210834553;0.340849195;0.30863836;0.199414348;0.151098097;0.533821376;0.110980966;0.122108346;0.233089312
0.616591928;0.096732864;0.150224215;0.136450993;0.367072389;0.307815503;0.222613709;0.102498398;0.577834721;0.124599616;0.133888533;0.16367713
0.659378203;0.106935429;0.163648787;0.070037581;0.382302699;0.300990776;0.249743765;0.066962761;0.615647421;0.134267168;0.147591391;0.102494021
0.685734716;0.114050769;0.178047908;0.022166607;0.392920987;0.298534144;0.267786915;0.040757955;0.647479442;0.140865213;0.154093672;0.057561673
0.695652174;0.115942029;0.18442029;0.003985507;0.393115942;0.299275362;0.277173913;0.030434783;0.655072464;0.145289855;0.157246377;0.042391304
0.693951467;0.116262224;0.189061934;0;0.383194495;0.302788845;0.283592901;0.03042376;0.64940239;0.146685983;0.162622238;0.041289388
0.688631427;0.118754526;0.191527878;0.001086169;0.376900797;0.303403331;0.287472846;0.032223027;0.642650253;0.148443157;0.166545981;0.042360608
0.682591386;0.121968874;0.193992038;0.001447702;0.369525878;0.309084329;0.288454578;0.032935215;0.637350706;0.149475208;0.170104958;0.043069128
0.675460788;0.126490784;0.195880014;0.002168413;0.359956632;0.312251536;0.291290206;0.036501626;0.631731117;0.149259125;0.172388869;0.046620889
0.667509939;0.1290206;0.200939646;0.002529816;0.353451391;0.319479581;0.289483195;0.037585833;0.629201301;0.148536321;0.174557282;0.047705096
0.659082701;0.13181654;0.207295052;0.001805706;0.346334417;0.323582521;0.292524377;0.037558685;0.626218852;0.149151318;0.176959191;0.047670639
0.655471289;0.133261105;0.2094619;0.001805706;0.339111593;0.325027086;0.297580354;0.038280968;0.619357169;0.151318165;0.180209462;0.049115204
0.650776454;0.133622246;0.213073312;0.002527988;0.331166486;0.32936078;0.300108342;0.039364391;0.612495486;0.15565186;0.180931744;0.05092091
0.648863226;0.132443161;0.214363046;0.004330567;0.325514255;0.333092746;0.300252616;0.041140383;0.609166366;0.154095994;0.18404908;0.05268856
0.646508279;0.134269258;0.214542837;0.004679626;0.318214543;0.337293017;0.302015839;0.042476602;0.604391649;0.155147588;0.186105112;0.054355652
0.636623748;0.135193133;0.216380544;0.011802575;0.310085837;0.337982833;0.302217454;0.049713877;0.592632332;0.158798283;0.186695279;0.061874106
0.629946524;0.138324421;0.217825312;0.013903743;0.303386809;0.339750446;0.304812834;0.052049911;0.586096257;0.161853832;0.187878788;0.064171123
0.621708185;0.144128114;0.220284698;0.013879004;0.295729537;0.33772242;0.312455516;0.054092527;0.580782918;0.165124555;0.187544484;0.066548043
0.61437211;0.146211313;0.22411953;0.015297047;0.290999644;0.331554607;0.321949484;0.055496265;0.575595873;0.165777303;0.190323728;0.068303095
0.605803255;0.147558386;0.227530078;0.01910828;0.282024062;0.329794763;0.329087049;0.059094126;0.568294409;0.165958953;0.193559802;0.072186837
0.599011648;0.149311684;0.231203671;0.020472997;0.273914578;0.32897988;0.336392517;0.060713025;0.563713378;0.167313802;0.195199435;0.073773385
0.592045055;0.151707145;0.234776487;0.021471313;0.26469553;0.327701514;0.34530095;0.062302006;0.561070046;0.167546639;0.196409715;0.074973601
0.560376724;0.148671376;0.226370669;0.064581231;0.24419778;0.312815338;0.338715103;0.104271779;0.529767911;0.163134881;0.190380087;0.116717121
0.56859391;0.152925077;0.230242901;0.048238112;0.241190558;0.31919261;0.350667123;0.088949709;0.533698255;0.169004447;0.19568936;0.101607937
0.571969697;0.156336088;0.234504132;0.037190083;0.234504132;0.324380165;0.359848485;0.081267218;0.534435262;0.171143251;0.200068871;0.094352617
0.570142016;0.161066851;0.236924143;0.03186699;0.233113959;0.325597506;0.363006581;0.078281954;0.533772082;0.16972636;0.204710772;0.091790786
0.565096953;0.164819945;0.242036011;0.028047091;0.224376731;0.328947368;0.371191136;0.075484765;0.532202216;0.171052632;0.207063712;0.08968144
0.559139785;0.167533819;0.246618106;0.02670829;0.216788068;0.332639612;0.376690947;0.073881374;0.527575442;0.172389872;0.210544572;0.089490114
0.549100968;0.172544952;0.25242047;0.02593361;0.208506224;0.333333333;0.383471646;0.074688797;0.525587828;0.174273859;0.210235131;0.089903181
0.510243902;0.163577236;0.243577236;0.082601626;0.191219512;0.312845528;0.367154472;0.128780488;0.49203252;0.162276423;0.201300813;0.144390244
0.543006993;0.178671329;0.265734266;0.012587413;0.201748252;0.336713287;0.396503497;0.065034965;0.523076923;0.174475524;0.219230769;0.083216783
0.544366197;0.184859155;0.267605634;0.003169014;0.195422535;0.336619718;0.408450704;0.059507042;0.523591549;0.174295775;0.224295775;0.077816901
0.543593364;0.187080833;0.26897282;0;0.190963643;0.337804448;0.413695729;0.057536181;0.519237557;0.175432404;0.228026827;0.077303212
0.54199012;0.18701482;0.269936486;0.001058574;0.181016231;0.342272406;0.417431193;0.059280169;0.515878617;0.177134792;0.227946366;0.079040226
0.541093474;0.187654321;0.269135802;0.002116402;0.173544974;0.345679012;0.419753086;0.061022928;0.507936508;0.181305115;0.230335097;0.08042328
0.535726857;0.18936994;0.272087293;0.00281591;0.16719465;0.34811686;0.422386484;0.062302006;0.499472017;0.185146075;0.233720521;0.081661387
0.532206969;0.191481873;0.273495248;0.00281591;0.157690954;0.349524815;0.427314326;0.065469905;0.494896163;0.18655403;0.235480465;0.083069342
0.525668073;0.195147679;0.276371308;0.00281294;0.148030942;0.352320675;0.431082982;0.068565401;0.486990155;0.192686357;0.235232068;0.085091421
0.519521632;0.197678509;0.27998593;0.002813929;0.138937742;0.360534647;0.429475906;0.071051706;0.478367921;0.197678509;0.237073514;0.086880056
0.517725518;0.194805195;0.282906283;0.004563005;0.127062127;0.368199368;0.431028431;0.073710074;0.468936469;0.202878203;0.238329238;0.08985609
0.518934081;0.190042076;0.286115007;0.004908836;0.122720898;0.367812062;0.433380084;0.076086957;0.467040673;0.203366059;0.237377279;0.092215989
0.524894811;0.186886396;0.283309958;0.004908836;0.121669004;0.362552595;0.438639551;0.07713885;0.464936886;0.204768583;0.236325386;0.093969144
0.529246935;0.184588441;0.279859895;0.006304729;0.11943958;0.358318739;0.443432574;0.078809107;0.459544658;0.20910683;0.235726795;0.095621716
0.523776224;0.183916084;0.285314685;0.006993007;0.118181818;0.356293706;0.446853147;0.078671329;0.463636364;0.21048951;0.23041958;0.095454545
0.524973804;0.183723367;0.283967866;0.007334963;0.121900105;0.352776808;0.45162417;0.073698917;0.469786937;0.210618233;0.229479567;0.090115264
0.525819958;0.178297278;0.286810886;0.009071877;0.12281926;0.346475925;0.455687369;0.075017446;0.475226797;0.208304257;0.224005583;0.092463364
0.521905424;0.180111266;0.286856745;0.011126565;0.122392211;0.342141864;0.458623088;0.076842837;0.474617524;0.208970793;0.222183588;0.094228095
0.514878893;0.183391003;0.286851211;0.014878893;0.12283737;0.335986159;0.459515571;0.0816609;0.473702422;0.206920415;0.221107266;0.098269896
0.508741858;0.183407611;0.28282482;0.025025711;0.121014741;0.329790881;0.459718889;0.089475489;0.466918067;0.205690778;0.221803222;0.105587933
0.504791239;0.183778234;0.287474333;0.023956194;0.123545517;0.323408624;0.465434634;0.087611225;0.467145791;0.202600958;0.226214921;0.10403833
0.504953878;0.182781004;0.286983259;0.025281859;0.126067646;0.320122993;0.466347796;0.087461565;0.47010591;0.198496754;0.226853434;0.104543902
0.503749148;0.18200409;0.288002727;0.026244035;0.128834356;0.316632584;0.467961827;0.086571234;0.467961827;0.199386503;0.227675528;0.104976142
